ACC_x_mean,ACC_y_mean,ACC_z_mean,net_acc_mean,net_acc_std,EDA_mean,EDA_std,EDA_slope,RESP_rate,RESP_regularity,HR,IBI,RMSSD,SDNN,pNN50,lf/hf,label,subject
-37.620333333333335,-43.53288888888889,-9.111222222222223,64.50203410430997,3.1342617003744033,0.28780475694444446,0.019154734143303744,-2.2041207110738642e-05,21.05966906234331,1.6277689212102968,78.56093117895642,808.6114253393665,213.00022590550327,173.46903317836637,80.45454545454548,2.835815853638994,1,14
-37.509,-41.995,-1.850111111111111,64.35866320488543,1.7837299970423879,0.27035002916666667,0.008661575823427433,-2.4642793019147774e-05,22.338120073349053,1.508775369643153,76.22820683645536,813.4191176470588,174.59749775294858,132.34164811674987,72.72727272727272,2.632636208435638,1,14
-43.476333333333336,-39.51877777777778,-11.618555555555556,64.66767522878672,2.3568110407797516,0.27182652500000004,0.005509589237758061,2.390201025979364e-05,21.66873035527193,1.7374599446018983,76.25372344168031,806.1655405405405,172.73732158424693,118.88325224310192,61.99095022624433,6.859065062213978,1,14
-39.675555555555555,-26.04411111111111,-33.06333333333333,64.7529153542764,1.926095016037749,0.2781126236111111,0.004833005857153068,9.416822290037669e-06,19.56202269387362,1.718670265889409,77.2316151081393,809.6719457013575,206.68858327093312,149.38525940933212,74.54545454545452,3.4283012853854737,1,14
-43.048,-33.71722222222222,5.739333333333334,64.43868887836213,2.2214955107575993,0.29021574305555553,0.0038249231196822177,6.1649729101847206e-06,21.19648807997949,1.5545978277014785,78.7340618382488,798.8194444444445,247.11028712118826,164.83536726828115,78.57142857142857,2.2755809907991202,1,14
-47.99655555555555,12.689111111111112,18.724,65.2142374784174,5.8256146168566705,0.30101135416666663,0.009223127274282922,3.9003733883874636e-05,20.741401557994678,1.823438930954937,80.40930927416115,773.7418831168832,199.06317188133147,138.71303620818978,65.65217391304348,5.925453861091383,1,14
-51.98288888888889,-10.571444444444445,11.751,65.20383108525228,6.455468880922182,0.30870823888888893,0.012344293440971864,-8.908078172732893e-06,20.100342184396702,1.5646608823093635,85.03254770164509,744.1649377593361,206.8739575439495,168.19123226828918,64.16666666666666,1.5131446281357628,1,14
-37.22311111111111,-31.44311111111111,8.805,64.47801276792681,4.673516704576376,0.3294676458333334,0.01095537874710964,3.454673059104444e-05,22.39786050287734,1.6062530102403687,116.35917893621172,549.1207951070336,208.72738009311772,156.71339124316574,54.29447852760735,10.1068152561938,2,14
-45.952777777777776,-26.398888888888887,-16.564444444444444,64.92111553854751,2.814719545434854,0.3405935736111111,0.003470493343911923,7.588004301063029e-06,23.495001318597012,1.446993258073476,117.18636041899805,547.5895579268292,208.68901213145773,162.5866262759125,62.99694189602447,1.7597682344476413,2,14
-35.06588888888889,-36.733222222222224,-13.095444444444444,64.62933228246777,4.182419269345448,0.3483134597222222,0.023644771661594306,-4.3242483830022586e-05,23.334074097590396,1.6695234597851552,121.85205426500805,521.6206395348837,185.42146938834023,152.2688416135592,39.65014577259476,5.1464252982658705,2,14
-53.61066666666667,4.144555555555556,35.812,64.60862987250341,0.3849262527835349,0.3201966305555556,0.012048079291007334,4.804074766733772e-05,23.68602905549775,1.758359600993431,119.49897309130083,507.6133144475921,77.28149037982321,62.12369360513548,10.795454545454545,2.1313896685671536,2,14
-48.50711111111111,1.7226666666666666,39.57888888888889,64.31814283773376,2.5788997900462043,0.3532492569444445,0.04344538100214429,6.256123872088248e-05,23.181959987521097,1.5356365219598593,104.56696139200552,592.7702145214521,133.60296275019186,120.07431156946673,29.470198675496697,5.239605730430108,2,14
