,ACC_x_mean,ACC_y_mean,ACC_z_mean,net_acc_mean,net_acc_std,EDA_mean,EDA_std,EDA_slope,RESP_rate,RESP_regularity,HR,IBI,RMSSD,SDNN,pNN50,lf/hf,label,subject,focus_label
0,-30.2,25.1,10.3,55.6,8.2,1.18,0.005,1e-06,16.2,3.1,72.5,827.6,130.4,95.7,50.2,2.1,1,18,1
1,-31.5,24.8,9.8,56.1,7.9,1.2,0.007,3e-06,16.5,3.0,73.1,820.5,128.9,93.4,49.8,2.2,1,18,1
2,-29.8,26.0,10.5,55.3,8.4,1.22,0.01,5e-06,17.0,2.8,74.2,809.7,125.1,90.1,47.5,2.4,1,18,0
3,-32.1,25.5,9.2,56.8,9.1,1.25,0.015,8e-06,17.5,2.6,76.3,786.4,120.3,87.2,45.3,2.6,2,18,0
4,-33.0,24.9,10.1,57.0,9.3,1.3,0.018,1e-05,18.1,2.4,78.9,760.5,115.7,83.9,42.1,2.9,2,18,0
5,-31.7,25.3,9.7,56.7,8.8,1.35,0.02,1.2e-05,18.4,2.3,80.2,748.1,110.4,80.5,39.8,3.1,2,18,0
6,-30.5,26.2,10.0,56.7,8.6,1.38,0.022,1.5e-05,18.7,2.2,81.5,736.2,105.9,77.3,37.4,3.3,2,18,0
7,-32.3,25.0,9.5,57.8,9.0,1.4,0.019,1.1e-05,18.2,2.5,79.8,751.9,112.3,82.1,41.2,2.8,2,18,0
8,-31.0,25.7,10.2,56.9,8.5,1.37,0.016,-7e-06,17.8,2.7,77.4,774.8,118.5,86.4,44.0,2.5,1,18,0
9,-30.8,26.1,9.9,56.8,8.3,1.33,0.012,-5e-06,17.3,2.9,75.6,793.7,123.2,89.8,46.3,2.3,1,18,1
10,-32.5,24.7,9.4,57.6,8.7,1.29,0.009,-3e-06,16.9,3.2,73.8,812.9,127.8,92.5,48.7,2.0,1,18,1
11,-31.2,25.4,10.1,56.7,8.4,1.25,0.007,-2e-06,16.4,3.3,72.1,832.2,131.5,94.9,50.5,1.9,1,18,1
12,-30.9,25.9,9.8,56.6,8.2,1.22,0.006,0.0,16.0,3.4,70.8,847.5,134.2,96.8,51.9,1.8,4,18,1
13,-32.0,25.2,9.6,57.8,8.0,1.2,0.005,-1e-06,15.7,3.5,69.5,863.3,137.1,98.4,53.2,1.7,4,18,1
14,-31.4,25.6,10.0,57.0,7.8,1.18,0.004,0.0,15.4,3.6,68.3,878.5,139.8,100.1,54.5,1.6,4,18,1
15,-30.7,26.0,9.7,56.4,7.6,1.16,0.003,1e-06,15.1,3.7,67.2,893.0,142.5,101.7,55.8,1.5,4,18,1
16,-32.2,25.3,9.5,57.0,7.9,1.15,0.004,2e-06,14.9,3.8,66.4,903.6,144.3,103.0,56.7,1.4,4,18,1
17,-31.6,25.7,9.9,56.2,8.1,1.14,0.005,3e-06,14.7,3.9,65.7,913.2,146.0,104.2,57.5,1.3,4,18,1
18,-30.9,26.1,10.2,55.2,8.3,1.13,0.006,4e-06,14.6,3.8,65.1,921.7,147.6,105.3,58.2,1.2,4,18,1
19,-32.4,25.0,9.6,56.0,8.5,1.12,0.007,5e-06,14.5,3.7,64.6,929.0,149.1,106.3,58.9,1.1,4,18,1
20,-31.8,25.4,9.8,55.0,8.7,1.11,0.008,6e-06,14.4,3.6,64.2,935.0,150.5,107.2,59.5,1.0,4,18,1
21,-30.5,26.2,10.1,54.8,8.9,1.1,0.009,7e-06,14.3,3.5,63.9,939.0,151.8,108.0,60.0,0.9,4,18,1
22,-32.0,25.1,9.5,55.6,9.1,1.09,0.01,8e-06,14.2,3.4,63.7,942.0,152.9,108.7,60.4,0.8,4,18,1
23,-31.3,25.5,9.9,54.7,9.3,1.08,0.011,9e-06,14.1,3.3,63.5,945.0,154.0,109.3,60.8,0.7,4,18,1
24,-30.7,26.0,10.2,54.9,9.5,1.07,0.012,1e-05,14.0,3.2,63.3,948.0,155.0,109.9,61.1,0.6,4,18,1
25,-32.1,25.2,9.6,55.7,9.7,1.06,0.013,1.1e-05,14.0,3.1,63.1,951.0,156.0,110.4,61.4,0.5,4,18,1
26,-31.5,25.6,9.8,55.9,9.9,1.05,0.014,1.2e-05,13.9,3.0,62.9,954.0,156.9,110.9,61.7,0.4,4,18,1
27,-30.8,26.1,10.1,56.1,10.1,1.04,0.015,1.3e-05,13.8,2.9,62.7,957.0,157.8,111.3,62.0,0.3,4,18,1
