,ACC_x_mean,ACC_y_mean,ACC_z_mean,net_acc_mean,net_acc_std,EDA_mean,EDA_std,EDA_slope,RESP_rate,RESP_regularity,HR,IBI,RMSSD,SDNN,pNN50,lf/hf,label,subject,focus_label
0,39.17786666666667,-39.36493333333333,-11.534133333333331,62.92457230743656,3.104072581763539,0.2936477908333333,0.0123403099579014,-3.016551525035785e-05,18.30100411317701,2.152321460942961,80.73332551045164,789.2480211081794,217.53310902440896,176.13546119023314,65.07936507936506,2.3386488756689303,1,8,1
1,30.984733333333335,1.0872666666666666,45.4994,63.19259798514062,4.728300599059754,0.25835212,0.0111004496637418,-2.642088195894568e-05,18.695614715258028,1.8394738408410725,80.43324009530629,784.827302631579,223.63387580076684,158.58672442580362,72.03166226912931,3.7992285152415657,1,8,1
2,26.192333333333337,12.864066666666666,47.129866666666665,63.00730531934164,2.5512630326819012,0.2427751258333333,0.0081469447095214,3.872015640289918e-07,21.50393568916429,1.4389078017126151,81.97590679840502,794.7140957446809,229.710528890892,211.1571829822045,78.13333333333333,3.746389177864186,3,8,0
3,22.016866666666665,9.5806,5.1922,64.68427653616028,10.149300583137604,0.2546860266666667,0.0142361924884297,-1.5281519001054767e-05,21.46080561591175,1.518895568189849,79.66664268868226,805.5087601078167,219.35997243901616,191.71634585573025,80.27027027027029,2.580389252067108,3,8,0
4,47.614866666666664,13.4868,6.246333333333333,64.50626906456566,12.90544786914396,0.2489784333333332,0.0170478542414841,-6.966514594801792e-06,23.58033340691191,1.6340398553060589,87.15366400291823,759.121192893401,264.74066043374535,224.90069153183097,80.66157760814247,2.978051349720765,4,8,0
5,12.2116,30.917,16.253333333333334,63.72553563008416,5.120772271725575,0.2629254375,0.0094128801093374,2.671309757506798e-05,25.000952417234934,1.6816782001708557,72.74142970245688,863.8457369942197,193.18084941243563,173.38056068645943,62.898550724637666,6.4486017134921045,4,8,0
6,46.3412,-14.991733333333332,-21.051733333333335,63.03601179050094,2.450391305042049,0.2663709066666666,0.0313179870677585,5.2719774874843904e-05,22.37269590505761,1.6958130670876534,90.8588245580186,716.6193181818181,270.5864230290166,208.07821885194932,77.69784172661869,2.532721715548441,4,8,0
7,48.52713333333333,-0.4968666666666667,25.681866666666668,63.27894766370178,4.700948405143854,0.3816816541666666,0.0514756002927396,6.864161967126386e-05,22.40768263404596,1.5252548069035103,93.94298959853376,683.3618721461187,228.81833097419656,177.03707532762454,75.28604118993134,3.494555074723027,2,8,0
8,37.293785310734464,-1.358555286521388,30.354317998385795,63.30373802316186,4.392118748070384,0.753902145,0.1005840291511147,0.0002416226017518,23.93552063828056,1.6879758006981205,96.52304760503682,672.5772471910112,261.9699593603501,197.89355123741308,78.82882882882883,3.268965461197903,2,8,0
9,34.522733333333335,18.0292,37.912866666666666,63.27323624551135,3.0184502126713224,0.379609885,0.0451944690118541,-0.0001233782117626,23.353577574429934,1.5275526169280846,89.59133149004641,713.4300595238095,216.05509490614773,172.3854566556167,53.221957040572775,3.7740016641720633,1,9,1
